eski_url,yeni_url
https://klimasun.com/urun/025lo2777-000-micro-opto-pcb.html,https://klimasun.com/urun/2-el-urunler/kontrol-kartlari/025lo2777-000-micro-opto-pcb.html
https://klimasun.com/urun/031-01095-002-main-board.html,https://klimasun.com/urun/2-el-urunler/kontrol-kartlari/031-01095-002-main-board.html
https://klimasun.com/urun/031-011109-213-york-cable.html,https://klimasun.com/urun/yedek-parca/yedek-parca/031-011109-213-york-cable.html
https://klimasun.com/urun/100adet-danfoss-saginomiya-stf-02u1g3-dort-yollu-vana.html,https://klimasun.com/urun/yedek-parca/yedek-parca/100adet-danfoss-saginomiya-stf-02u1g3-dort-yollu-vana.html
https://klimasun.com/urun/1200f-4-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-9-3-11-7kw.html,https://klimasun.com/urun/fancoil/fancoil/1200f-4-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-9-3-11-7kw.html
https://klimasun.com/urun/1200r-2-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-7-5-21kw.html,https://klimasun.com/urun/fancoil/fancoil/1200r-2-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-7-5-21kw.html
https://klimasun.com/urun/15-15-pitsan-radyal-fan-yp02-10700.html,https://klimasun.com/urun/evaporatif-sogutma/yedekparca-ve-bakim-urunleri/15-15-pitsan-radyal-fan-yp02-10700.html
https://klimasun.com/urun/1500f-4-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-10-6-12-7kw.html,https://klimasun.com/urun/fancoil/fancoil/1500f-4-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-10-6-12-7kw.html
https://klimasun.com/urun/1500r-2-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-12-9-30kw.html,https://klimasun.com/urun/fancoil/fancoil/1500r-2-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-12-9-30kw.html
https://klimasun.com/urun/1610-28-kasnak-gobegi.html,https://klimasun.com/urun/evaporatif-sogutma/yedekparca-ve-bakim-urunleri/1610-28-kasnak-gobegi.html
https://klimasun.com/urun/1610-38-kasnak-gobegi.html,https://klimasun.com/urun/evaporatif-sogutma/yedekparca-ve-bakim-urunleri/1610-38-kasnak-gobegi.html
https://klimasun.com/urun/18-18-radyal-fan-ayagi-pitsan.html,https://klimasun.com/urun/evaporatif-sogutma/yedekparca-ve-bakim-urunleri/18-18-radyal-fan-ayagi-pitsan.html
https://klimasun.com/urun/18-18-radyal-fan-pitsan.html,https://klimasun.com/urun/evaporatif-sogutma/yedekparca-ve-bakim-urunleri/18-18-radyal-fan-pitsan.html
https://klimasun.com/urun/2-el-copeland-scroll-zp61kce-tfd-kompresor-sifir-ayarinda-test-edilmis-ve-garantili.html,https://klimasun.com/urun/yedek-parca/kompresor/2-el-copeland-scroll-zp61kce-tfd-kompresor-sifir-ayarinda-test-edilmis-ve-garantili.html
https://klimasun.com/urun/2-el-rittal-sk-3382-500-tavan-klimasi-500-w-230v.html,https://klimasun.com/urun/pano-iklimlendirme/pano-klimasi/2-el-rittal-sk-3382-500-tavan-klimasi-500-w-230v.html
https://klimasun.com/urun/2-el-sk-3302100-rittal-yan-pnl-kapi-monteli-pano-klima-300w.html,https://klimasun.com/urun/pano-iklimlendirme/pano-klimasi/2-el-sk-3302100-rittal-yan-pnl-kapi-monteli-pano-klima-300w.html
https://klimasun.com/urun/2-yollu-vana-1.html,https://klimasun.com/urun/rittal-yedek-parca/kontrol-elemanlari/2-yollu-vana-1.html
https://klimasun.com/urun/2-yollu-vana-2.html,https://klimasun.com/urun/rittal-yedek-parca/kontrol-elemanlari/2-yollu-vana-2.html
https://klimasun.com/urun/2-yollu-vana-3.html,https://klimasun.com/urun/rittal-yedek-parca/kontrol-elemanlari/2-yollu-vana-3.html
https://klimasun.com/urun/2-yollu-vana-4.html,https://klimasun.com/urun/rittal-yedek-parca/kontrol-elemanlari/2-yollu-vana-4.html
https://klimasun.com/urun/2-yollu-vana.html,https://klimasun.com/urun/rittal-yedek-parca/kontrol-elemanlari/2-yollu-vana.html
https://klimasun.com/urun/2012-28-kasnak-gobegi.html,https://klimasun.com/urun/evaporatif-sogutma/yedekparca-ve-bakim-urunleri/2012-28-kasnak-gobegi.html
https://klimasun.com/urun/2012-30-kasnak-gobegi.html,https://klimasun.com/urun/evaporatif-sogutma/yedekparca-ve-bakim-urunleri/2012-30-kasnak-gobegi.html
https://klimasun.com/urun/25-25-radyal-fan-pitsan.html,https://klimasun.com/urun/evaporatif-sogutma/yedekparca-ve-bakim-urunleri/25-25-radyal-fan-pitsan.html
https://klimasun.com/urun/2517-50-kasnak-gobegi.html,https://klimasun.com/urun/evaporatif-sogutma/yedekparca-ve-bakim-urunleri/2517-50-kasnak-gobegi.html
https://klimasun.com/urun/3-yollu-vana-1.html,https://klimasun.com/urun/rittal-yedek-parca/kontrol-elemanlari/3-yollu-vana-1.html
https://klimasun.com/urun/3-yollu-vana-2.html,https://klimasun.com/urun/rittal-yedek-parca/kontrol-elemanlari/3-yollu-vana-2.html
https://klimasun.com/urun/3-yollu-vana-3.html,https://klimasun.com/urun/rittal-yedek-parca/kontrol-elemanlari/3-yollu-vana-3.html
https://klimasun.com/urun/3-yollu-vana-4.html,https://klimasun.com/urun/rittal-yedek-parca/kontrol-elemanlari/3-yollu-vana-4.html
https://klimasun.com/urun/3-yollu-vana-5.html,https://klimasun.com/urun/rittal-yedek-parca/kontrol-elemanlari/3-yollu-vana-5.html
https://klimasun.com/urun/3-yollu-vana-6.html,https://klimasun.com/urun/rittal-yedek-parca/kontrol-elemanlari/3-yollu-vana-6.html
https://klimasun.com/urun/3-yollu-vana-7.html,https://klimasun.com/urun/rittal-yedek-parca/kontrol-elemanlari/3-yollu-vana-7.html
https://klimasun.com/urun/3-yollu-vana.html,https://klimasun.com/urun/rittal-yedek-parca/kontrol-elemanlari/3-yollu-vana.html
https://klimasun.com/urun/30-ra-200-0559-p-carrier-chiller-200kw-407c.html,https://klimasun.com/urun/2-el-urunler/2-el-urunler/30-ra-200-0559-p-carrier-chiller-200kw-407c.html
https://klimasun.com/urun/300-2-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-3-6-8kw.html,https://klimasun.com/urun/fancoil/fancoil/300-2-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-3-6-8kw.html
https://klimasun.com/urun/300s-4-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-2-5-3-7kw.html,https://klimasun.com/urun/fancoil/fancoil/300s-4-borulu-4-yone-uflemeli-kompakt-kaset-tipi-fancoil-2-5-3-7kw.html
https://klimasun.com/urun/32gb-500-102-ef.html,https://klimasun.com/urun/yedek-parca/yedek-parca/32gb-500-102-ef.html
https://klimasun.com/urun/3328140-icin-muadili-vsh175cu3c7hq-highly-6-653-btu-380v-r-134a-gazli-kompresor.html,https://klimasun.com/urun/yedek-parca/kompresor/3328140-icin-muadili-vsh175cu3c7hq-highly-6-653-btu-380v-r-134a-gazli-kompresor.html
https://klimasun.com/urun/3328540-icin-muadili-vsh175cu3c7hq-highly-6-653-btu-380v-r-134a-gazli-kompresor.html,https://klimasun.com/urun/yedek-parca/kompresor/3328540-icin-muadili-vsh175cu3c7hq-highly-6-653-btu-380v-r-134a-gazli-kompresor.html
https://klimasun.com/urun/3329140-icin-muadili-vsh175cu3c7hq-highly-6-653-btu-380v-r-134a-gazli-kompresor.html,https://klimasun.com/urun/yedek-parca/kompresor/3329140-icin-muadili-vsh175cu3c7hq-highly-6-653-btu-380v-r-134a-gazli-kompresor.html
https://klimasun.com/urun/3329540-icin-muadili-vsh175cu3c7hq-highly-6-653-btu-380v-r-134a-gazli-kompresor.html,https://klimasun.com/urun/yedek-parca/kompresor/3329540-icin-muadili-vsh175cu3c7hq-highly-6-653-btu-380v-r-134a-gazli-kompresor.html
https://klimasun.com/urun/3332540-icin-evaparator-fan-sk-3396270.html,https://klimasun.com/urun/rittal-yedek-parca/fanlar/3332540-icin-evaparator-fan-sk-3396270.html
